JCOMMOPS WMO-PLATFORM cross reference list as of 2012-09-08 for WMO number still allocated in the last 6 months (with WMO Ids that are numerical)

WMO;TELECOM ID;TELECOM SYSTEM;PTFM NAME;PTFM FAMILY;PTFM TYPE;CONTACT NAME;EMAIL;PROGRAM;ROLE;AGENCY;COUNTRY;ALLOC_DATE;DEALLOC_DATE;ARGOS_PROG
14554;70906;ARGOS;ARGOS:70906;DB;SVPBD2;;;;;NOAA/AOML;USA;2008-05-02;3000-01-01;5325
14558;82628;ARGOS;ARGOS:82628;DB;SVPBD2;;;;;NOAA/AOML;USA;2012-02-07;2012-05-01;
14558;82628;ARGOS;ARGOS:82628;DB;SVPBD2;;;;;NOAA/AOML;USA;2012-02-07;2012-05-01;
14562;82306;ARGOS;ARGOS:82306;DB;SVPBD2;;;;;NOAA/AOML;USA;2012-05-30;3000-01-01;
14562;82306;ARGOS;ARGOS:82306;DB;SVPBD2;;;;;NOAA/AOML;USA;2012-05-30;3000-01-01;
14563;81846;ARGOS;ARGOS:81846;DB;SVPB;;;;;NOAA/AOML;USA;2011-03-29;3000-01-01;
14563;81846;ARGOS;ARGOS:81846;DB;SVPB;;;;;NOAA/AOML;USA;2011-03-29;3000-01-01;
14566;81851;ARGOS;ARGOS:81851;DB;SVPBD2;;;;;NOAA/AOML;USA;2011-04-06;3000-01-01;
14566;81851;ARGOS;ARGOS:81851;DB;SVPBD2;;;;;NOAA/AOML;USA;2011-04-06;3000-01-01;
14602;486500;IRIDIUM;IRIDIUM:486500;DB;SVPB;;;;;SAWS;ZAF;2012-02-08;3000-01-01;
14603;481510;IRIDIUM;IRIDIUM:481510;DB;SVPB;;;;;SAWS;ZAF;2012-02-08;2012-05-01;
14912;81824;ARGOS;ARGOS:81824;DB;SVPBD;;;;;NOAA/AOML;USA;2011-03-02;2012-07-26;
14912;81824;ARGOS;ARGOS:81824;DB;SVPBD;;;;;NOAA/AOML;USA;2011-03-02;2012-07-26;
14914;39207;ARGOS;ARGOS:39207;DB;SVPB;;;;;NOAA/AOML;USA;2011-08-18;2012-07-04;8325
14914;39207;ARGOS;ARGOS:39207;DB;SVPB;;;;;NOAA/AOML;USA;2011-08-18;2012-07-04;8325
14914;39207;ARGOS;ARGOS:39207;DB;SVPB;;;;;NOAA/AOML;USA;2011-08-18;2012-07-04;8325
14914;39207;ARGOS;ARGOS:39207;DB;SVPB;;;;;NOAA/AOML;USA;2011-08-18;2012-07-04;8325
14916;36443;ARGOS;ARGOS:36443;DB;SVPBD2;;;;;NOAA/AOML;USA;2011-09-20;3000-01-01;
14916;36443;ARGOS;ARGOS:36443;DB;SVPBD2;;;;;NOAA/AOML;USA;2011-09-20;3000-01-01;
14918;88662;ARGOS;ARGOS:88662;DB;SVPBD2;;;;;NOAA/AOML;USA;2010-11-09;2012-03-26;7325
14918;88662;ARGOS;ARGOS:88662;DB;SVPBD2;;;;;NOAA/AOML;USA;2010-11-09;2012-03-26;7325
14929;75288;ARGOS;ARGOS:75288;DB;SVPBD2;;;;;NOAA/AOML;USA;2010-04-13;2012-08-23;6325
14929;75288;ARGOS;ARGOS:75288;DB;SVPBD2;;;;;NOAA/AOML;USA;2010-04-13;2012-08-23;6325
14939;88664;ARGOS;ARGOS:88664;DB;SVPBD2;;;;;NOAA/AOML;USA;2011-09-22;3000-01-01;
14939;88664;ARGOS;ARGOS:88664;DB;SVPBD2;;;;;NOAA/AOML;USA;2011-09-22;3000-01-01;
14946;75129;ARGOS;ARGOS:75129;DB;SVP;;;;;NOAA/AOML;USA;2008-04-18;2012-05-01;6325
